iter	Passed	Remaining
655	11989	6287
656	12010	6270
657	12025	6250
658	12045	6233
659	12064	6215
660	12077	6194
661	12092	6174
662	12108	6154
663	12130	6138
664	12147	6119
665	12166	6101
666	12180	6080
667	12196	6061
668	12213	6042
669	12233	6025
670	12256	6009
671	12273	5990
672	12290	5971
673	12306	5952
674	12326	5934
675	12345	5916
676	12361	5897
677	12377	5878
678	12398	5861
679	12420	5845
680	12438	5826
681	12459	5809
682	12473	5789
683	12492	5771
684	12509	5752
685	12530	5735
686	12550	5718
687	12571	5701
688	12594	5684
689	12614	5667
690	12631	5648
691	12647	5629
692	12664	5610
693	12676	5589
694	12692	5570
695	12713	5553
696	12730	5534
697	12748	5515
698	12768	5498
699	12788	5480
700	12804	5461
701	12821	5442
702	12841	5425
703	12857	5405
704	12876	5387
705	12891	5368
706	12906	5348
707	12927	5331
708	12942	5312
709	12964	5295
710	12983	5277
711	13000	5258
712	13022	5241
713	13043	5224
714	13056	5204
715	13072	5185
716	13090	5166
717	13104	5146
718	13118	5127
719	13140	5110
720	13160	5092
721	13181	5075
722	13198	5056
723	13213	5037
724	13230	5018
725	13243	4998
726	13257	4978
727	13273	4959
728	13287	4939
729	13310	4923
730	13330	4905
731	13351	4888
732	13366	4868
733	13383	4849
734	13402	4832
735	13415	4812
736	13432	4793
737	13448	4774
738	13466	4756
739	13490	4739
740	13508	4721
741	13529	4704
742	13552	4687
743	13566	4668
744	13583	4649
745	13599	4630
746	13620	4612
747	13635	4593
748	13652	4574
749	13664	4554
750	13689	4538
751	13708	4520
752	13727	4502
753	13754	4487
754	13775	4470
755	13797	4453
756	13814	4434
757	13831	4416
758	13853	4398
759	13874	4381
760	13887	4361
761	13905	4343
762	13926	4325
763	13946	4308
764	13975	4293
765	13994	4275
766	14012	4256
767	14036	4240
768	14065	4225
769	14092	4209
770	14114	4192
771	14133	4174
772	14156	4157
773	14176	4139
774	14188	4119
775	14208	4101
776	14227	4083
777	14249	4066
778	14264	4046
779	14285	4029
780	14304	4011
781	14321	3992
782	14339	3974
783	14356	3955
784	14371	3936
785	14383	3916
786	14399	3897
787	14414	3877
788	14432	3859
789	14451	3841
790	14470	3823
791	14485	3804
792	14505	3786
793	14524	3768
794	14541	3749
795	14562	3731
796	14577	3712
797	14596	3694
798	14616	3676
799	14634	3658
800	14648	3639
801	14666	3620
802	14682	3602
803	14696	3582
804	14711	3563
805	14726	3544
806	14751	3527
807	14767	3509
808	14783	3490
809	14799	3471
810	14820	3453
811	14837	3435
812	14851	3416
813	14868	3397
814	14886	3379
815	14901	3360
816	14919	3341
817	14937	3323
818	14957	3305
819	14970	3286
820	14992	3268
821	15008	3250
822	15027	3231
823	15042	3212
824	15060	3194
825	15073	3175
826	15089	3156
827	15105	3137
828	15121	3119
829	15134	3099
830	15152	3081
831	15166	3062
832	15186	3044
833	15202	3025
834	15223	3008
835	15245	2990
836	15266	2973
837	15290	2955
838	15308	2937
839	15325	2919
840	15343	2900
841	15359	2882
842	15371	2862
843	15389	2844
844	15407	2826
845	15426	2808
846	15441	2789
847	15458	2770
848	15473	2752
849	15487	2733
850	15502	2714
851	15518	2695
852	15537	2677
853	15551	2658
854	15572	2640
855	15588	2622
856	15604	2603
857	15620	2585
858	15637	2566
859	15651	2547
860	15666	2529
861	15681	2510
862	15695	2491
863	15711	2473
864	15724	2454
865	15737	2435
866	15756	2417
867	15775	2399
868	15791	2380
869	15807	2362
870	15821	2343
871	15837	2324
872	15851	2306
873	15863	2286
874	15877	2268
875	15891	2249
876	15907	2230
877	15921	2212
878	15940	2194
879	15954	2175
880	15970	2157
881	15982	2138
882	16000	2120
883	16012	2101
884	16025	2082
885	16037	2063
886	16051	2044
887	16061	2025
888	16079	2007
889	16091	1988
890	16105	1970
891	16116	1951
892	16130	1932
893	16145	1914
894	16159	1895
895	16171	1877
896	16186	1858
897	16199	1840
898	16218	1822
899	16229	1803
900	16250	1785
901	16264	1767
902	16280	1748
903	16301	1731
904	16319	1713
905	16338	1695
906	16355	1676
907	16370	1658
908	16388	1640
909	16402	1622
910	16421	1604
911	16439	1586
912	16456	1568
913	16468	1549
914	16481	1531
915	16496	1512
916	16506	1494
917	16523	1475
918	16539	1457
919	16551	1439
920	16572	1421
921	16586	1403
922	16602	1385
923	16620	1367
924	16635	1348
925	16654	1330
926	16670	1312
927	16682	1294
928	16699	1276
929	16714	1258
930	16730	1239
931	16741	1221
932	16759	1203
933	16772	1185
934	16787	1167
935	16800	1148
936	16811	1130
937	16824	1112
938	16836	1093
939	16848	1075
940	16860	1057
941	16869	1038
942	16881	1020
943	16892	1002
944	16903	983
945	16913	965
946	16924	947
947	16936	929
948	16945	910
949	16957	892
950	16973	874
951	16990	856
952	17003	838
953	17018	820
954	17030	802
955	17040	784
956	17051	766
957	17062	748
958	17072	729
959	17085	711
960	17093	693
961	17103	675
962	17111	657
963	17122	639
964	17130	621
965	17138	603
966	17146	585
967	17153	567
968	17161	549
969	17169	531
970	17178	513
971	17184	495
972	17189	477
973	17196	459
974	17202	441
975	17210	423
976	17217	405
977	17223	387
978	17230	369
979	17236	351
980	17243	333
981	17249	316
982	17256	298
983	17260	280
984	17265	262
985	17269	245
986	17273	227
987	17278	209
988	17281	192
989	17284	174
990	17288	157
991	17291	139
992	17294	121
993	17298	104
994	17302	86
995	17305	69
996	17308	52
997	17312	34
998	17315	17
999	17319	0
