iter	Passed	Remaining
804	4354	1054
805	4359	1049
806	4364	1043
807	4370	1038
808	4375	1032
809	4380	1027
810	4385	1022
811	4390	1016
812	4395	1011
813	4400	1005
814	4406	1000
815	4411	994
816	4416	989
817	4421	983
818	4426	978
819	4431	972
820	4436	967
821	4442	961
822	4447	956
823	4452	951
824	4457	945
825	4463	940
826	4468	934
827	4473	929
828	4479	923
829	4483	918
830	4489	913
831	4494	907
832	4499	902
833	4504	896
834	4509	891
835	4515	885
836	4520	880
837	4525	874
838	4530	869
839	4535	863
840	4541	858
841	4546	853
842	4551	847
843	4556	842
844	4561	836
845	4566	831
846	4571	825
847	4577	820
848	4582	815
849	4587	809
850	4592	804
851	4597	798
852	4602	793
853	4608	787
854	4613	782
855	4618	776
856	4623	771
857	4628	766
858	4634	760
859	4639	755
860	4644	749
861	4649	744
862	4654	738
863	4659	733
864	4664	728
865	4670	722
866	4675	717
867	4681	711
868	4686	706
869	4691	701
870	4696	695
871	4701	690
872	4706	684
873	4712	679
874	4717	673
875	4722	668
876	4728	663
877	4733	657
878	4738	652
879	4743	646
880	4749	641
881	4754	636
882	4760	630
883	4764	625
884	4769	619
885	4775	614
886	4780	609
887	4785	603
888	4790	598
889	4796	592
890	4801	587
891	4806	581
892	4811	576
893	4816	571
894	4821	565
895	4827	560
896	4832	554
897	4837	549
898	4843	544
899	4848	538
900	4853	533
901	4858	527
902	4863	522
903	4868	517
904	4874	511
905	4879	506
906	4884	500
907	4889	495
908	4894	490
909	4899	484
910	4904	479
911	4910	473
912	4915	468
913	4920	462
914	4925	457
915	4930	452
916	4936	446
917	4941	441
918	4946	435
919	4951	430
920	4956	425
921	4962	419
922	4967	414
923	4973	409
924	4978	403
925	4983	398
926	4988	392
927	4994	387
928	4999	382
929	5004	376
930	5009	371
931	5014	365
932	5020	360
933	5025	355
934	5030	349
935	5035	344
936	5040	338
937	5046	333
938	5051	328
939	5057	322
940	5062	317
941	5067	311
942	5072	306
943	5077	301
944	5083	295
945	5088	290
946	5093	285
947	5098	279
948	5103	274
949	5109	268
950	5114	263
951	5119	258
952	5125	252
953	5130	247
954	5135	241
955	5140	236
956	5145	231
957	5151	225
958	5156	220
959	5161	215
960	5166	209
961	5171	204
962	5176	198
963	5181	193
964	5187	188
965	5192	182
966	5197	177
967	5202	171
968	5208	166
969	5213	161
970	5218	155
971	5223	150
972	5229	145
973	5234	139
974	5239	134
975	5244	128
976	5249	123
977	5254	118
978	5259	112
979	5265	107
980	5270	102
981	5275	96
982	5281	91
983	5286	85
984	5291	80
985	5296	75
986	5301	69
987	5307	64
988	5312	59
989	5317	53
990	5322	48
991	5327	42
992	5332	37
993	5337	32
994	5342	26
995	5347	21
996	5353	16
997	5358	10
998	5363	5
999	5369	0
